country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.332,9240934,820.8530296
Afghanistan,Asia,1962,31.997,10267083,853.10071
Afghanistan,Asia,1967,34.02,11537966,836.1971382
Afghanistan,Asia,1972,36.088,13079460,739.9811058
Bahrain,Asia,1952,50.939,120447,9867.084765
Bahrain,Asia,1957,53.832,138655,11635.79945
Bangladesh,Asia,1952,37.484,46886859,684.2441716
Bangladesh,Asia,1957,39.348,51365468,661.6374577
Cambodia,Asia,1952,39.417,4693836,368.4692856
Cambodia,Asia,1957,41.366,5322536,434.0383364
China,Asia,1952,44.0,556263527,400.4486107
China,Asia,1957,50.54896,637408000,575.9870009
India,Asia,1952,37.373,372000000,546.5657493
India,Asia,1957,40.249,409000000,590.061996
Indonesia,Asia,1952,37.468,82052000,749.6816546
Indonesia,Asia,1957,39.918,90124000,858.9002707
Iran,Asia,1952,44.869,17272000,3035.326002
Iran,Asia,1957,47.181,19792000,3290.257643
Iraq,Asia,1952,45.32,5441766,4129.766056
Iraq,Asia,1957,48.437,6248643,6229.333562
Israel,Asia,1952,65.39,1620914,4086.522128
Israel,Asia,1957,67.84,1944401,5385.278451
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1957,65.5,91563009,4317.694365
Jordan,Asia,1952,43.158,607914,1546.907807
Jordan,Asia,1957,45.669,746559,1886.080591
Korea Rep.,Asia,1952,47.453,20947571,1030.592226
Korea Rep.,Asia,1957,52.681,22611552,1487.593537
Kuwait,Asia,1952,55.565,160000,108382.3529
Kuwait,Asia,1957,58.033,212846,113523.1329
Lebanon,Asia,1952,55.928,1439529,4834.804067
Lebanon,Asia,1957,59.489,1647412,6089.786934
Malaysia,Asia,1952,48.463,6748378,1831.132894
Malaysia,Asia,1957,52.102,7739235,1810.066992
Mongolia,Asia,1952,42.244,800663,786.5668575
Mongolia,Asia,1957,45.248,882134,912.6626085
Myanmar,Asia,1952,36.319,20092996,331.0
Myanmar,Asia,1957,41.905,21731844,350.0
Nepal,Asia,1952,36.157,9182536,545.8657229
Nepal,Asia,1957,37.686,9682338,597.9363558
Oman,Asia,1952,37.578,507833,1828.230307
Oman,Asia,1957,40.08,561977,2242.746551
Pakistan,Asia,1952,43.436,41346560,684.5971438
Pakistan,Asia,1957,45.557,46679944,747.0835292
Philippines,Asia,1952,47.752,22438691,1272.880995
Philippines,Asia,1957,51.334,26072194,1547.944844
Saudi Arabia,Asia,1952,39.875,4005677,6459.554823
Saudi Arabia,Asia,1957,42.868,4419650,8157.591248
Singapore,Asia,1952,60.396,1127000,2315.138227
Singapore,Asia,1957,63.179,1445929,2843.104409
Sri Lanka,Asia,1952,57.593,7982342,1083.53203
Sri Lanka,Asia,1957,61.456,9128546,1072.546602
Syria,Asia,1952,45.883,3661549,1643.485354
Syria,Asia,1957,48.284,4149908,2117.234893
Taiwan,Asia,1952,58.5,8550362,1206.947913
Taiwan,Asia,1957,62.4,10164215,1507.86129
Thailand,Asia,1952,50.848,21289402,757.7974177
Thailand,Asia,1957,53.63,25041917,793.5774148
Vietnam,Asia,1952,40.412,26246839,605.0664917
Vietnam,Asia,1957,42.887,28998543,676.2854478
Yemen Rep.,Asia,1952,32.548,4963829,781.7175761
Yemen Rep.,Asia,1957,33.97,5498090,804.8304547
Algeria,Africa,1952,43.077,9279525,2449.008185
Algeria,Africa,1957,45.685,10270856,3013.976023
Angola,Africa,1952,30.015,4232095,3520.610273
Angola,Africa,1957,31.999,4561361,3827.940465
Benin,Africa,1952,38.223,1738315,1062.7522
Benin,Africa,1957,40.358,1925173,959.6010805
Botswana,Africa,1952,47.622,442024,851.2411407
Botswana,Africa,1957,49.618,474639,918.2325349
Burkina Faso,Africa,1952,31.975,4469979,543.2552413
Burkina Faso,Africa,1957,34.906,4713416,617.1834648
Burundi,Africa,1952,39.031,2445618,339.2964587
Burundi,Africa,1957,40.533,2667518,379.5646281
Cameroon,Africa,1952,38.523,5009067,1172.667655
Cameroon,Africa,1957,40.428,5359923,1313.048099
Central African Republic,Africa,1952,35.463,1291695,1071.310713
Central African Republic,Africa,1957,37.464,1392284,1190.844328
Chad,Africa,1952,38.092,2682462,1178.665927
Chad,Africa,1957,39.881,2894855,1308.495577
Comoros,Africa,1952,40.715,153936,1102.990936
Comoros,Africa,1957,42.46,170928,1211.148548
Congo Dem. Rep.,Africa,1952,39.143,14100005,780.5423257
Congo Dem. Rep.,Africa,1957,40.652,15577932,905.8602303
Congo Rep.,Africa,1952,42.111,854885,2125.621621
Congo Rep.,Africa,1957,45.053,940458,2315.056572
Cote d'Ivoire,Africa,1952,40.477,2977019,1388.594732
Cote d'Ivoire,Africa,1957,42.469,3300000,1500.895883
Djibouti,Africa,1952,34.812,63149,2669.529475
Djibouti,Africa,1957,37.328,71851,2864.969076
Egypt,Africa,1952,41.893,22223309,1418.822445
Egypt,Africa,1957,44.444,25009741,1458.915272
Equatorial Guinea,Africa,1952,34.482,216964,375.6431231
Equatorial Guinea,Africa,1957,35.983,232922,426.0964081
Eritrea,Africa,1952,35.928,1438760,328.9405571
Eritrea,Africa,1957,38.047,1542611,344.1618859
Ethiopia,Africa,1952,34.078,20860941,362.1462796
Ethiopia,Africa,1957,36.667,22815614,378.9041632
Gabon,Africa,1952,37.003,420702,4293.476475
Gabon,Africa,1957,38.999,434904,4976.198099
Gambia,Africa,1952,30.0,284320,485.2306591
Gambia,Africa,1957,32.065,323150,520.9267111
Ghana,Africa,1952,43.149,5581001,911.2989371
Ghana,Africa,1957,44.779,6391288,1043.561317
Guinea,Africa,1952,33.609,2664249,510.1964923
Guinea,Africa,1957,34.558,2876726,576.2670245
Guinea-Bissau,Africa,1952,32.5,580653,299.850319
Guinea-Bissau,Africa,1957,33.489,601095,431.7904566
Kenya,Africa,1952,42.27,6464046,853.540919
Kenya,Africa,1957,44.686,7454779,944.4383152
Lesotho,Africa,1952,42.138,748747,298.8462121
Lesotho,Africa,1957,45.047,813338,335.9971151
Liberia,Africa,1952,38.48,863308,575.5729961
Liberia,Africa,1957,39.486,975950,620.9699901
Libya,Africa,1952,42.723,1019729,2387.54806
Libya,Africa,1957,45.289,1201578,3448.284395
Madagascar,Africa,1952,36.681,4762912,1443.011715
Madagascar,Africa,1957,38.865,5181679,1589.20275
Malawi,Africa,1952,36.256,2917802,369.1650802
Malawi,Africa,1957,37.207,3221238,416.3698064
Mali,Africa,1952,33.685,3838168,452.3369807
Mali,Africa,1957,35.307,4241884,490.3821867
Mauritania,Africa,1952,40.543,1022556,743.1159097
Mauritania,Africa,1957,42.338,1076852,846.1202613
Mauritius,Africa,1952,50.986,516556,1967.955707
Mauritius,Africa,1957,58.089,609816,2034.037981
Morocco,Africa,1952,42.873,9939217,1688.20357
Morocco,Africa,1957,45.423,11406350,1642.002314
Mozambique,Africa,1952,31.286,6446316,468.5260381
Mozambique,Africa,1957,33.779,7038035,495.5868338
Namibia,Africa,1952,41.725,485831,2423.780443
Namibia,Africa,1957,45.226,548080,2621.448058
Niger,Africa,1952,37.444,3379468,761.879376
Niger,Africa,1957,38.598,3692184,835.5234025
Nigeria,Africa,1952,36.324,33119096,1077.281856
Nigeria,Africa,1957,37.802,37173340,1100.592563
Reunion,Africa,1952,52.724,257700,2718.885295
Reunion,Africa,1957,55.09,308700,2769.451844
Rwanda,Africa,1952,40.0,2534927,493.3238752
Rwanda,Africa,1957,41.5,2822082,540.2893983
